Number,Id,LookupId,AircraftId,Aircraft_RegistrationNumber,StartDate,EndDate,StartTime,EndTime,TimeZone,WorkOrderStatusId,Status_Name,TermsAndConditions,Created,CreatedBy,LastUpdated,LastUpdatedBy,IsActive,Notes,EstimatedInventoryCostSubTotal,EstimatedLaborCostSubTotal,EstimatedAdditionalCostSubTotal,EstimatedTotalCost,ActualInventoryCostSubTotal,ActualLaborCostSubTotal,ActualAdditionalCostSubTotal,ActualTotalCost,OpenLineItemCount,InReviewLineItemCount,RequireSignatureLineItemCount,ClosedLineItemCount,LineItemCount,EstimatedHours,CompletedHours,RemainingHours,ClosedLineItemPercent,CompletedHoursPercent,ContactName,ContactEmail,ContactPhone,AirportId,ReferenceField,AccountCode,LineItems
WO979-3-12-23JL,135018,93e9556e-c915-4ccd-aaf1-8207633575b9,24731,N979JS,2023-03-12,2023-03-14,,,US/Eastern,1,Draft,,2023-02-24T01:43:11.433Z,56160,2023-03-02T00:19:41.1219828Z,56160,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0,8,0.0,0.0,0.0,0,0,,,,13519,SCHED MX,,[]
WO979-1-18-23JL,130291,99778b4b-9f05-476e-8185-ae9a5b92b2ca,24731,N979JS,2023-01-18,2023-01-19,,,US/Eastern,6,Closed,,2023-01-03T00:12:30.327Z,56160,2023-02-13T15:45:50.7543145Z,55349,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,36,36,0.0,0.0,0.0,100,0,,,,,SCHEDULED MX,,[]
WO976-1-26-23JL,129570,892291cf-7832-4f02-8cca-e5292976c055,24730,N976JS,2023-01-26,2023-01-28,,,US/Eastern,6,Closed,,2022-12-24T03:55:54.983Z,56160,2023-02-17T12:19:31.0909642Z,55349,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,27,27,0.0,0.0,0.0,100,0,,,,13519,SCHEDULED MX,,[]
WO975-1-24-23JL,129567,85e32ab3-b678-4f53-9b92-6b1644be8eea,24729,N975JS,2023-01-24,2023-01-26,,,US/Eastern,6,Closed,,2022-12-24T03:27:57.8Z,56160,2023-01-24T19:29:50.3581423Z,43566,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,32,32,0.0,0.0,0.0,100,0,,,,13519,SCHEDULED MX,,[]
WO971-2-28-23JL,131992,5f9dbb41-0ed2-4a03-bcef-48f4bba08d39,24621,N971JS,2023-02-28,2023-03-02,,,US/Eastern,7,Canceled,,2023-01-23T01:36:28.48Z,56160,2023-01-23T01:38:19.4877692Z,56160,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,,,SCHEDULED MX,,[]
WO971-1-28-23JL,129566,0d1583bd-9346-4bf4-a9f6-c343cb00af46,24621,N971JS,2023-01-28,2023-01-30,,,US/Eastern,1,Draft,,2022-12-24T02:51:54.82Z,56160,2023-01-04T16:08:19.3673506Z,55325,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,12,0.0,0.0,0.0,0,0,,,,12489,SCHEDULED MX,,[]
WO970-1-23-23SY,131744,7d26a5e8-94ca-4d4e-aedb-a071bf222621,24620,N970JS,2023-01-23,2023-01-25,,,,6,Closed,,2023-01-19T00:31:56.82Z,55328,2023-01-30T15:28:07.9295442Z,55349,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,32,32,0.0,0.0,0.0,100,0,,,,13519,SCHED MX,,[]
WO957-1-24-23SY,130961,c2fbd46b-ca76-4a00-91e6-4b4fc53ab8ec,24728,N957JS,2023-01-24,2023-01-27,2023-01-24T05:00:00Z,2023-01-28T04:59:00Z,US/Eastern,6,Closed,,2023-01-09T18:42:55.76Z,55328,2023-01-17T13:58:11.140887Z,43566,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,2,,,,100,0,,,,,Windscreen,,[]
WO956-3-11-23SY,135358,9dac7b2f-09cf-45c1-9ff9-0d1912609019,24695,N956JS,2023-03-11,2023-03-12,,,,1,Draft,,2023-02-28T01:17:04.263Z,55328,2023-03-07T16:03:24.0979859Z,55330,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,6,0.0,0.0,0.0,0,0,,,,13519,SCHED MX,,[]
WO956-2-7-23DS,133717,e1f5e830-611f-46cc-9366-435e035bf410,24695,N956JS,,,,,,6,Closed,,2023-02-09T15:08:15.053Z,55349,2023-02-09T15:21:35.916081Z,55349,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,2,,,,100,0,,,,,MSU,,[]
WO956-2-2-23JL,131991,0bf32df2-e932-436c-86f8-4d8a77661bda,24695,N956JS,2023-02-02,2023-02-03,,,US/Eastern,7,Canceled,,2023-01-23T01:23:18.723Z,56160,2023-01-23T01:25:26.5304909Z,56160,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,,,SCHEDULED MX,,[]
WO956-2-20-23GR,134372,80068570-1bf0-44cf-8c07-fa99b9010e86,24695,N956JS,2023-02-20,,,,,6,Closed,,2023-02-16T17:02:47.123Z,55324,2023-02-27T15:21:20.0797316Z,55349,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,38,38,0.0,0.0,0.0,100,0,,,,13519,SCHEDULED MX,,[]
WO954-3-19-23SY,135357,4002aa43-5a73-4678-83a4-6f57f246a442,24694,N954JS,2023-03-19,2023-03-21,,,,1,Draft,,2023-02-28T01:03:16.587Z,55328,2023-03-19T10:34:19.7801874Z,55341,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,16,0.0,0.0,0.0,0,0,,,,13519,SCHED MX,,[]
WO954-2-7-23JL,131990,135368db-678b-4471-9e05-87ab52999804,24694,N954JS,2023-02-07,2023-02-09,,,US/Eastern,6,Closed,,2023-01-23T01:11:26.55Z,56160,2023-02-06T11:30:39.8235656Z,55349,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,38,38,0.0,0.0,0.0,100,0,,,,,SCHEDULED MX,,[]
WO950-11-09-22,126444,91b14898-7237-4cf5-a28d-5ccf77232a24,24687,N950JS,2022-11-18,2022-11-22,2022-11-18T18:38:00Z,2022-11-22T18:00:00Z,,6,Closed,,2022-11-21T00:38:45.36Z,55957,2022-11-22T16:49:09.8978739Z,55359,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,,,,100,0,,,,,,,[]
WO947-2-28-23DG,135503,af5a8cbd-ae56-4bd7-b603-bb32a5cb8359,24693,N947JS,2023-02-28,2023-03-01,2023-02-28T21:30:00Z,2023-03-01T17:00:00Z,US/Eastern,6,Closed,,2023-02-28T21:44:46.547Z,55345,2023-03-06T15:03:19.25177Z,55349,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,,,,100,0,,,,14406,,,[]
WO945-3-27-23SY,135355,f0d675ce-db1b-40b8-8179-88063b257615,24692,N945JS,2023-03-27,2023-03-28,2023-03-27T23:59:00Z,2023-03-28T23:59:00Z,,1,Draft,,2023-02-28T00:47:55.72Z,55328,2023-03-15T17:10:46.8620947Z,55325,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,0,11,0.0,0.0,0.0,0,0,,,,,SCHED MX - MSU,,[]
WO943-2-21-23JL,131985,9f40c535-38b7-410d-9554-e19c6b162b63,24686,N943JS,2023-02-21,2023-02-27,,,US/Eastern,1,Draft,,2023-01-22T22:34:13.813Z,56160,2023-02-24T21:55:52.1753147Z,55347,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,0,0,0,57,0.0,0.0,0.0,0,0,,,,,SCHEDULED MX,,[]
